"x1","y1","x2","y2","length","digit1","digit2","digit3","digit4","digit5","digit6"
"246","77","419","300","2","1","9","-1","-1","-1","-1"
"77","25","124","61","2","2","3","-1","-1","-1","-1"
"17","5","34","20","2","2","5","-1","-1","-1","-1"
"57","13","85","47","2","9","3","-1","-1","-1","-1"
"52","7","89","56","2","3","1","-1","-1","-1","-1"
"28","6","49","29","2","3","3","-1","-1","-1","-1"
"35","10","60","43","2","2","8","-1","-1","-1","-1"
"17","3","38","19","3","7","4","4","-1","-1","-1"
"19","4","55","29","3","1","2","8","-1","-1","-1"
"25","4","48","33","2","1","6","-1","-1","-1","-1"
"22","4","42","31","2","2","3","-1","-1","-1","-1"
"67","16","110","72","2","6","3","-1","-1","-1","-1"
"44","12","81","46","2","4","2","-1","-1","-1","-1"
"35","2","78","44","2","5","8","-1","-1","-1","-1"
"22","7","43","28","2","1","6","-1","-1","-1","-1"
"20","1","33","22","2","2","3","-1","-1","-1","-1"
"23","4","47","26","2","7","9","-1","-1","-1","-1"
"52","12","101","58","2","5","3","-1","-1","-1","-1"
"19","1","43","20","3","2","2","2","-1","-1","-1"
"20","1","43","26","2","6","2","-1","-1","-1","-1"
"72","6","124","91","1","2","-1","-1","-1","-1","-1"
"24","4","51","21","3","5","1","5","-1","-1","-1"
"29","5","74","37","2","4","7","-1","-1","-1","-1"
"233","56","269","93","2","8","9","-1","-1","-1","-1"
"60","7","134","61","3","6","10","1","-1","-1","-1"
"34","7","62","40","2","2","4","-1","-1","-1","-1"
"46","8","100","56","2","5","6","-1","-1","-1","-1"
"31","7","52","41","2","5","2","-1","-1","-1","-1"
"43","13","71","32","3","1","3","2","-1","-1","-1"
"16","1","36","26","2","1","4","-1","-1","-1","-1"
"14","1","47","20","3","6","3","8","-1","-1","-1"
"48","16","85","52","2","4","3","-1","-1","-1","-1"
"27","5","60","38","2","1","4","-1","-1","-1","-1"
"41","9","78","45","2","4","2","-1","-1","-1","-1"
"25","5","32","19","1","6","-1","-1","-1","-1","-1"
"50","8","96","56","2","4","4","-1","-1","-1","-1"
"24","2","49","24","2","1","1","-1","-1","-1","-1"
"87","22","145","85","2","1","7","-1","-1","-1","-1"
"62","19","83","60","2","3","1","-1","-1","-1","-1"
"61","9","121","78","2","2","10","-1","-1","-1","-1"
"38","9","63","45","2","4","2","-1","-1","-1","-1"
"110","27","185","87","3","2","5","1","-1","-1","-1"
"87","20","145","75","2","2","9","-1","-1","-1","-1"
